macro_regiao,exposicao,outcome,contrast,ext_days,ref_days,ext_pct_events,ref_pct_events,chi2,chi_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
Metropolitana I,temp_med,internacoes_i60_i69,P95_vs_P50,234,247,99.6,100.0,0.0007325170565302121,0.9784078487600735,1.0,1.0,False,False,False
Metropolitana I,temp_med,internacoes_i60_i69,P01_vs_P50,59,247,100.0,100.0,,,,,False,False,False
Metropolitana I,temp_med,internacoes_i60_i69,P99_vs_P50,59,247,100.0,100.0,,,,,False,False,False
Metropolitana I,temp_med,internacoes_i60_i64,P05_vs_P50,234,247,100.0,100.0,,,,,False,False,False
Metropolitana I,temp_med,internacoes_i60_i64,P95_vs_P50,234,247,99.6,100.0,0.0007325170565302121,0.9784078487600735,1.0,1.0,False,False,False
Metropolitana I,temp_med,internacoes_i60_i64,P01_vs_P50,59,247,100.0,100.0,,,,,False,False,False
Metropolitana I,temp_med,internacoes_i60_i64,P99_vs_P50,59,247,100.0,100.0,,,,,False,False,False
Metropolitana I,temp_med,obitos_i60_i69,P05_vs_P50,234,247,100.0,99.6,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i69,P95_vs_P50,234,247,99.1,99.6,0.002206745944358813,0.9625323440238245,1.0,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i69,P01_vs_P50,59,247,100.0,99.6,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i69,P99_vs_P50,59,247,100.0,99.6,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i64,P05_vs_P50,234,247,100.0,99.6,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i64,P95_vs_P50,234,247,99.1,99.6,0.002206745944358813,0.9625323440238245,1.0,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i64,P01_vs_P50,59,247,100.0,99.6,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,temp_med,obitos_i60_i64,P99_vs_P50,59,247,100.0,99.6,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P05_vs_P50,234,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P95_vs_P50,234,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P01_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i69,P99_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i64,P05_vs_P50,234,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i64,P95_vs_P50,234,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
Metropolitana I,ur_med,internacoes_i60_i64,P01_vs_P50,59,336,100.0,99.7,0.0,1.0,1.0,1.0,False,False,False
