macro_regiao,exposicao,outcome,contrast,n_extreme,n_ref,median_extreme,median_ref,mean_extreme,mean_ref,std_extreme,std_ref,mw_U,mw_p,ks_stat,ks_p,bm_p_hat,bm_p,mood_stat,mood_p,cliffs_delta,hl_est,hl_ci_low,hl_ci_high,perm_p,kw_H,kw_p,jt_JT,jt_E,jt_p,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,ks_fdr_bh,combined_signal
Centro-Sul,temp_med,internacoes_i60_i69,P01_vs_P50,59,191,2.0,2.0,1.694915254237288,2.0785340314136125,1.153538950994817,1.690475303416073,4983.0,0.16910789090433753,0.14739550980566152,0.2510844339198901,0.44218652941698466,0.5586972862447934,3.874483890380056,0.04902538080629102,-0.1156269411660307,0.0,-1.0,0.0,,,,,,,0.9153457844168145,1.0,False,False,False,0.9153457844168145,False
Centro-Sul,temp_med,internacoes_i60_i69,P99_vs_P50,60,191,2.0,2.0,2.316666666666667,2.0785340314136125,2.0533847396162486,1.690475303416073,6003.5,0.5695325147574333,0.049214659685863915,0.9995299271318082,0.5238656195462479,0.808454380115906,0.28924570861620924,0.590704303809809,0.04773123909249564,0.0,0.0,1.0,,9.446589039420914,0.008885855645951804,62412.0,72072.0,0.00027634664147939566,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,internacoes_i60_i64,P05_vs_P50,234,191,1.0,2.0,1.5256410256410255,1.9162303664921465,1.3047352186537808,1.5154694223137357,19143.5,0.008988705807692452,0.1113572291582764,0.13377705568406936,0.428323712355126,0.19132530743777565,4.333964076174893,0.037359143253693605,-0.14335257528974807,0.0,-1.0,0.0,0.842,,,,,,0.6316031481477373,1.0,False,False,False,0.6316031481477373,False
Centro-Sul,temp_med,internacoes_i60_i64,P95_vs_P50,234,191,2.0,2.0,1.764957264957265,1.9162303664921465,1.3899404303361773,1.5154694223137357,21233.0,0.3644457316303191,0.055801673602720814,0.8741446869646566,0.4750749541325458,0.6520502289233215,1.3809062109455115,0.2399468469621346,-0.04985009173490849,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,internacoes_i60_i64,P01_vs_P50,59,191,2.0,2.0,1.5932203389830508,1.9162303664921465,1.0104310888670427,1.5154694223137357,5149.5,0.3057739088094259,0.12316975774247929,0.4575118950943565,0.45696157600496934,0.6635629522199598,2.5409102400741794,0.11093081919606007,-0.08607684799006123,0.0,-1.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,internacoes_i60_i64,P99_vs_P50,60,191,2.0,2.0,1.8333333333333333,1.9162303664921465,1.343709624716425,1.5154694223137357,5695.0,0.9426798441385258,0.0570680628272251,0.9957357860904552,0.49694589877835954,0.9752546766796029,0.07467977332566654,0.7846410610389618,-0.006108202443280977,0.0,0.0,0.0,,7.552435667252211,0.02290917408397196,61356.0,72072.0,5.4823140031063215e-05,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,obitos_i60_i69,P05_vs_P50,234,191,1.0,0.0,0.6623931623931624,0.743455497382199,0.7853603338406779,0.9390574515087865,21988.5,0.7549352256121905,0.06786145791381393,0.6839634342394749,0.491978789099208,0.8766462814782942,0.11987889448230324,0.7291658753509048,-0.016042421801584106,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,obitos_i60_i69,P95_vs_P50,234,191,0.0,0.0,0.5555555555555556,0.743455497382199,0.7154514974505111,0.9390574515087865,20605.0,0.12436791647149133,0.10632299637535236,0.16912987388465733,0.461023851076207,0.4442070709050978,0.26153344284343544,0.6090686110075887,-0.07795229784758581,0.0,0.0,0.0,,,,,,,0.7270060250564375,1.0,False,False,False,0.7270060250564375,False
Centro-Sul,temp_med,obitos_i60_i69,P01_vs_P50,59,191,1.0,0.0,0.8135593220338984,0.743455497382199,0.8920472791146282,0.9390574515087865,6006.5,0.4047990172413195,0.08936019167628007,0.8260341547542677,0.5330109148992812,0.7236149967952643,0.0021643663060110533,0.9628936015082143,0.06602182979856243,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,obitos_i60_i69,P99_vs_P50,60,191,0.0,0.0,0.5666666666666667,0.743455497382199,0.8034647195462632,0.9390574515087865,5172.0,0.20961397123319114,0.0869109947643979,0.8444549416352751,0.4513089005235602,0.5922624623423883,1.0586100060288337,0.303532424529041,-0.09738219895287958,0.0,0.0,0.0,,2.9088898615014913,0.2335299532281157,39784.0,72072.0,5.405453203418754e-34,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,obitos_i60_i64,P05_vs_P50,234,191,0.0,0.0,0.44871794871794873,0.4712041884816754,0.6598517555106549,0.6771963415499486,22046.0,0.7798001943083606,0.010404081084709471,1.0,0.493265315254844,0.8893964747677982,0.014298701954211051,0.9048180977911573,-0.013469369490311899,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,obitos_i60_i64,P95_vs_P50,234,191,0.0,0.0,0.3547008547008547,0.4712041884816754,0.6255248362523268,0.6771963415499486,20385.0,0.06032375344781852,0.07878014946077783,0.49880940531694423,0.45610149013290374,0.3490832911242924,2.5723684323079707,0.10874481017183889,-0.0877970197341925,0.0,0.0,0.0,1.0,,,,,,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,obitos_i60_i64,P01_vs_P50,59,191,0.0,0.0,0.6101694915254238,0.4712041884816754,0.7368496650604799,0.6771963415499486,6211.0,0.1721887663091184,0.09237731830685947,0.7950570776359511,0.5511580441920313,0.5616774134665417,1.236909527967212,0.2660674954860047,0.10231608838406248,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
Centro-Sul,temp_med,obitos_i60_i64,P99_vs_P50,60,191,0.0,0.0,0.38333333333333336,0.4712041884816754,0.6605973727535471,0.6771963415499486,5280.0,0.27894219601631265,0.08219895287958112,0.8860851865784319,0.4607329842931937,0.6441370398530126,1.0028595326194314,0.3166195725595561,-0.07853403141361257,0.0,0.0,0.0,,4.278587861970716,0.11773794479520064,31694.0,72072.0,3.517329540642373e-52,1.0,1.0,False,False,False,1.0,False
Centro-Sul,ur_med,internacoes_i60_i69,P05_vs_P50,234,289,2.0,2.0,1.7863247863247864,1.8961937716262975,1.316100558786687,1.444337245971181,32869.0,0.5724830540229271,0.029884955490491832,0.9995406667289836,0.4860408718540206,0.7791287321858494,0.3803544382342827,0.5374136080424005,-0.027918256291958713,0.0,0.0,0.0,,,,,,,1.0,1.0,False,False,False,1.0,False
