macro_regiao,exposicao,outcome,contrast,n_P05,n_P50,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005,cliffs_delta,cliffs_abs,cliffs_magnitude
Metropolitana I,ur_med,obitos_i60_i64,P95_vs_P50,,336,,10.0,,10.351190476190476,48630.5,0.7934569268718104,-0.14641231919388886,293.0,10.0,10.204778156996587,0.9068079164249261,1.0,False,False,False,-0.012057126604908175,0.012057126604908175,negligenciável
Metropolitana II,temp_med,internacoes_i60_i69,P05_vs_P50,293.0,339,5.0,6.0,5.122866894197952,6.657817109144543,34326.0,1.6310520179293362e-11,-1.5349502149465906,,,,7.829049686060814e-10,2.3487149058182443e-09,True,True,True,-0.30882841523452836,0.30882841523452836,pequeno
Metropolitana II,temp_med,internacoes_i60_i69,P95_vs_P50,,339,,6.0,,6.657817109144543,56916.0,0.0014637214598122905,0.7858688976813957,293.0,7.0,7.4436860068259385,0.021077589021296982,0.21077589021296983,True,True,False,0.14603280074904104,0.14603280074904104,negligenciável
Metropolitana II,temp_med,internacoes_i60_i64,P05_vs_P50,293.0,339,4.0,6.0,4.6825938566552905,6.4188790560471976,34344.5,1.696646556395616e-11,-1.736285199391907,,,,6.107927603024218e-10,2.443171041209687e-09,True,True,True,-0.3084559082626073,0.3084559082626073,pequeno
Metropolitana II,temp_med,internacoes_i60_i64,P95_vs_P50,,339,,6.0,,6.4188790560471976,56637.5,0.0022085615964312477,0.7620083159664546,293.0,7.0,7.180887372013652,0.026502739157174975,0.3180328698860997,True,True,False,0.14042506065822988,0.14042506065822988,negligenciável
Metropolitana II,temp_med,obitos_i60_i69,P05_vs_P50,293.0,339,3.0,3.0,3.3276450511945392,3.106194690265487,52721.5,0.17498287065897744,0.22145036092905235,,,,0.3876543596137346,1.0,False,False,False,0.06157439568294623,0.06157439568294623,negligenciável
Metropolitana II,temp_med,obitos_i60_i69,P95_vs_P50,,339,,3.0,,3.106194690265487,45230.0,0.049454753038565974,-0.280256123712586,293.0,3.0,2.825938566552901,0.16561591715240698,1.0,False,False,False,-0.08927079243307459,0.08927079243307459,negligenciável
Metropolitana II,temp_med,obitos_i60_i64,P05_vs_P50,293.0,339,2.0,2.0,2.2081911262798637,1.8525073746312684,56418.5,0.0024742722191615327,0.35568375164859534,,,,0.025449657111375763,0.3562951995592607,True,True,False,0.13601538353116474,0.13601538353116474,negligenciável
Metropolitana II,temp_med,obitos_i60_i64,P95_vs_P50,,339,,2.0,,1.8525073746312684,48764.5,0.6863229980934489,-0.06752443947768483,293.0,2.0,1.7849829351535835,0.8375467095377681,1.0,False,False,False,-0.018101825284162414,0.018101825284162414,negligenciável
Metropolitana II,ur_med,internacoes_i60_i69,P05_vs_P50,293.0,328,8.0,7.0,8.01023890784983,6.984756097560975,54648.0,0.0030078105499084687,1.025482810288855,,,,0.0288749812791213,0.4331247191868195,True,True,False,0.13726795971031383,0.13726795971031383,negligenciável
Metropolitana II,ur_med,internacoes_i60_i69,P95_vs_P50,,328,,7.0,,6.984756097560975,29340.0,2.223058702310014e-17,-2.2568649410983905,294.0,4.0,4.727891156462585,1.6006022656632102e-15,3.2012045313264203e-15,True,True,True,-0.39148830263812845,0.39148830263812845,médio
Metropolitana II,ur_med,internacoes_i60_i64,P05_vs_P50,293.0,328,7.0,6.0,7.535836177474403,6.795731707317073,53995.0,0.007496920164352094,0.7401044701573296,,,,0.056818763350879035,1.0,False,True,False,0.123678514942146,0.123678514942146,negligenciável
Metropolitana II,ur_med,internacoes_i60_i64,P95_vs_P50,,328,,6.0,,6.795731707317073,29105.5,8.905845217207946e-18,-2.2345072175211547,294.0,4.0,4.561224489795919,1.2824417112779443e-15,1.2824417112779443e-15,True,True,True,-0.3963518334162933,0.3963518334162933,médio
Metropolitana II,ur_med,obitos_i60_i69,P05_vs_P50,293.0,328,3.0,3.0,2.83617747440273,3.192073170731707,43608.0,0.04340704181557977,-0.355895696328977,,,,0.14882414336770206,1.0,False,False,False,-0.09248314326146674,0.09248314326146674,negligenciável
Metropolitana II,ur_med,obitos_i60_i69,P95_vs_P50,,328,,3.0,,3.192073170731707,44839.5,0.12568996418848974,-0.249896299983408,294.0,3.0,2.942176870748299,0.3120578421231469,1.0,False,False,False,-0.0700286212045794,0.0700286212045794,negligenciável
