estratificacao,exposicao,contrast,n_extreme,n_ref,mean_extreme,mean_ref,mw_U,mw_p,cliffs_delta,sexo,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,2,80+,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.14041745730550284,0.12654179990863407,2320059.0,0.5651127450403836,0.005570807288122517,3,<40,,,,0.9563446454529567,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.14591254752851712,0.12654179990863407,2336166.5,0.14182304082072242,0.014477199339247222,3,<40,,,,0.4952550631834751,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.6783681214421252,0.6528095020557332,2264677.0,0.22163380393693255,-0.01843311780569225,3,40-59,,,,0.6211393231353524,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.620722433460076,0.6528095020557332,2219692.5,0.016057316659897864,-0.036101480440571335,3,40-59,,,,0.1535917245729361,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,1.2813092979127134,1.3563270899954316,2259669.5,0.20723865756179016,-0.02060349184251428,3,60-79,,,,0.5882903827560495,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,1.1934410646387832,1.3563270899954316,2253055.5,0.18664558947665877,-0.021613642008869095,3,60-79,,,,0.5548922930387153,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.599146110056926,0.6098675194152581,2268561.0,0.24653056815098162,-0.016749696386018413,3,80+,,,,0.649541616685221,1.0,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.5299429657794676,0.6098675194152581,2237124.5,0.047473952056988046,-0.02853165759665941,3,80+,,,,0.2578831963589474,1.0,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,9,<40,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,9,<40,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,9,40-59,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,9,40-59,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,9,60-79,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,9,60-79,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P05_vs_P50,2108,2189,0.0,0.0,2307206.0,,0.0,9,80+,,,,,,False,False,False
sexo_faixa_etaria,temp_med,P95_vs_P50,2104,2189,0.0,0.0,2302828.0,,0.0,9,80+,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,0,<40,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,0,<40,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,0,40-59,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,0,40-59,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,0,60-79,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,0,60-79,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P05_vs_P50,2106,2825,0.0,0.0,2974725.0,,0.0,0,80+,,,,,,False,False,False
sexo_faixa_etaria,ur_med,P95_vs_P50,2103,2825,0.0,0.0,2970487.5,,0.0,0,80+,,,,,,False,False,False
