estratificacao,exposicao,contrast,n_P05,n_P50,sexo,median_P05,median_P50,mean_P05,mean_P50,U_stat,p_value,mean_diff,n_P95,median_P95,mean_P95,faixa_etaria,desfecho,cid_grupo,macro_regiao,fdr_bh,bonferroni,sinal_bh_005,sinal_bh_010,sinal_bonf_005
macro_regiao,temp_med,P95_vs_P50,,338,,,9.0,,9.674556213017752,52510.5,0.1636200972619959,0.4144848828726584,292.0,10.0,10.08904109589041,,,,Metropolitana II,0.40106877499586796,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,269.0,164,,2.0,2.0,2.557620817843866,2.707317073170732,21010.5,0.3940127584250067,-0.14969625532686592,,,,,,,Noroeste,0.6335725155474108,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,,164,,,2.0,,2.707317073170732,20781.5,0.6528638129124782,-0.04577861163227048,260.0,2.0,2.6615384615384614,,,,Noroeste,0.8305419392114437,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,290.0,242,,4.0,4.0,4.427586206896552,4.045454545454546,39192.0,0.018897846500129878,0.3821316614420063,,,,,,,Norte,0.10551297629239181,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,,242,,,4.0,,4.045454545454546,33960.0,0.8690003908186025,-0.11965949245101237,283.0,4.0,3.9257950530035335,,,,Norte,0.939081067497522,1.0,False,False,False
macro_regiao,temp_med,P05_vs_P50,293.0,235,,6.0,5.0,7.993174061433447,8.080851063829787,37283.5,0.09947592448620722,-0.08767700239633935,,,,,,,Serrana,0.327781324946355,1.0,False,False,False
macro_regiao,temp_med,P95_vs_P50,,235,,,5.0,,8.080851063829787,32166.5,0.326966562884055,-1.6850177304964538,288.0,5.0,6.395833333333333,,,,Serrana,0.5764936766639916,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,195.0,203,,1.0,1.0,1.682051282051282,1.7438423645320198,19365.5,0.6776438065122362,-0.061791082480737725,,,,,,,Baia da Ilha Grande,0.825493364296724,1.0,False,False,False
macro_regiao,ur_med,P95_vs_P50,,203,,,1.0,,1.7438423645320198,19623.0,0.7402281910583162,-0.04384236453201984,190.0,1.0,1.7,,,,Baia da Ilha Grande,0.8700927859808278,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,272.0,269,,3.0,3.0,2.8933823529411766,2.866171003717472,36479.5,0.9533883779024567,0.027211349223704495,,,,,,,Baixada Litoranea,0.9777095099918051,1.0,False,False,False
macro_regiao,ur_med,P95_vs_P50,,269,,,3.0,,2.866171003717472,31510.0,0.2046626624354323,-0.17017100371747196,250.0,2.0,2.696,,,,Baixada Litoranea,0.44714342553828146,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,257.0,266,,2.0,2.0,2.6809338521400776,2.582706766917293,35224.5,0.5346176256803198,0.09822708522278445,,,,,,,Centro-Sul,0.7310077738894168,1.0,False,False,False
macro_regiao,ur_med,P95_vs_P50,,266,,,2.0,,2.582706766917293,32906.0,0.6544960489952325,0.05365686944634307,253.0,2.0,2.6363636363636362,,,,Centro-Sul,0.8222106615502609,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,289.0,324,,5.0,5.0,6.477508650519031,6.1234567901234565,44901.0,0.3778472550100891,0.35405186039557446,,,,,,,Medio Paraiba,0.6124782117502251,1.0,False,False,False
macro_regiao,ur_med,P95_vs_P50,,324,,,5.0,,6.1234567901234565,45066.5,0.46365106916753995,0.08487654320987659,288.0,5.0,6.208333333333333,,,,Medio Paraiba,0.6753178616135908,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,293.0,335,,38.0,38.0,38.877133105802045,38.698507462686564,49072.5,0.9984161030168804,0.17862564311548113,,,,,,,Metropolitana I,0.9984161030168804,1.0,False,False,False
macro_regiao,ur_med,P95_vs_P50,,335,,,38.0,,38.698507462686564,40636.5,0.00019652968308631793,-2.469838520707043,293.0,36.0,36.22866894197952,,,,Metropolitana I,0.0030386512538730696,0.039502466300349905,True,True,True
macro_regiao,ur_med,P05_vs_P50,293.0,328,,10.0,10.0,10.542662116040956,10.070121951219512,50415.5,0.28816032963323834,0.472540164821444,,,,,,,Metropolitana II,0.5313782225346873,1.0,False,False,False
macro_regiao,ur_med,P95_vs_P50,,328,,,10.0,,10.070121951219512,30452.0,1.5569495771196691e-15,-2.4000539240086276,294.0,7.0,7.670068027210885,,,,Metropolitana II,3.129468650010535e-13,3.129468650010535e-13,True,True,True
macro_regiao,ur_med,P05_vs_P50,255.0,261,,2.0,2.0,2.815686274509804,2.8007662835249043,36878.5,0.029048543846183918,0.014919990984899822,,,,,,,Noroeste,0.14596893282707418,1.0,False,False,False
macro_regiao,ur_med,P95_vs_P50,,261,,,2.0,,2.8007662835249043,35621.0,0.24024610063088847,0.14109418159137466,258.0,2.0,2.941860465116279,,,,Noroeste,0.47811352699810483,1.0,False,False,False
macro_regiao,ur_med,P05_vs_P50,277.0,282,,4.0,4.0,4.292418772563177,4.170212765957447,39447.0,0.8366486916022001,0.12220600660572956,,,,,,,Norte,0.9290960608400124,1.0,False,False,False
